Date;Costa_Rica;Lituanie;Colombie;Grece;France;Test_à_con_pour_France;;Suede;Chili;New_Zealand;Suisse;Irlande;Autriche;Italie;Portugal;Luxembourg;Allemagne;Pologne;Tchéquie;Lettonie;EU27_2020;Arabie_Saoudite;EA19;G20;Chine;Afrique_du_sud;Indonesie;Inde;Turquie;Isreal;Belgique;Mexique;Slovaquie;USA;Pays_bas;Bresil;Finlande;Slovenie;Canada;Hongrie;Norvege;OCDE;Japon;Espagne;Danemark;Estonie;Royaume-Uni;Islande;Australie;Corée_du_sud
1973-Q3;;;;0,593785586;0,858845143;226616,2918;;0,781539966;;;0,923731092;0,826587472;0,398009616;3,18178299;2,984993782;2,264656679;0,327712697;;;;;;;;;2,892126309;;;;;1,426949406;1,753957612;;-0,525898536;-0,72573153;;4,437518319;;0,362013934;;1,18030089;0,365931917;0,291681205;1,651654071;0,316519876;;-0,944805785;1,918032306;1,012620025;5,090241766
1973-Q4;;;;0,400258753;1,278319135;229513,1712;;1,365484011;;;1,762754546;0,760770828;2,114916666;2,442616376;1,593790761;2,167429275;0,24886882;;;;;;;;;1,92621499;;;;;1,324668226;1,442038019;;0,949216043;3,903124023;;1,879384958;;1,868824427;;1,354833115;1,13473093;1,235735789;1,645425147;-0,050231497;;-0,436401722;1,916533234;2,501847688;1,447179718
1974-Q1;;;;-2,013449845;0,959287031;231714,8613;;-0,532074444;;;1,46096557;0,861614055;2,01668466;0,810995874;0,547245244;1,538048882;0,845690319;;;;;;;;;1,868574967;;;;;1,282729029;1,403345049;;-0,859772574;0,575004502;;-0,581897583;;0,741400547;;1,522530474;-0,442635579;-3,435981747;1,698325068;-0,416193242;;-2,737780016;1,640139287;0,013807069;4,175234446
1974-Q2;;;;-5,264455677;0,500642661;232874,9247;;1,702633011;;;0,302525739;1,126914412;-0,421365581;0,955063814;-2,033564478;0,526564292;-0,076938462;;;;;;;;;1,374417468;;;;;1,269724956;1,378937292;;0,237683227;1,146852459;;0,308619595;;1,094286656;;1,292526514;0,463744974;0,720303476;1,263590499;-0,490190037;;1,429145887;1,177278438;-2,032426794;-0,263554358
1974-Q3;;;;-6,511365608;0,943450926;235071,9853;;1,408670212;;;-2,42459668;1,562881945;0,466238085;0,16671244;-1,658835446;-0,917416866;0,00000435;;;;;;;;;1,132567196;;;;;0,165849972;1,420328024;;-0,945142778;0,7879786;;1,235448193;;-0,087894261;;1,071506394;0,021202269;1,279660157;0,705686378;-0,565185038;;0,623390827;0,526714883;1,196217198;1,56076644
1974-Q4;;;;5,234095866;-1,510183316;231521,9674;;1,360991524;;;-3,572712242;1,877960383;-1,224199014;-2,090374618;-0,772746094;-2,215836913;-1,262707459;;;;;;;;;-0,943914052;;;;;-1,000723354;1,455293632;;-0,388140783;-1,385399516;;0,023032177;;-0,463837034;;0,85781115;-0,610953198;-0,542348904;0,066164419;-0,641423598;;-1,463229067;-0,055508009;0,105984652;-0,341014777
1975-Q1;;;;7,943471934;-0,44990402;230480,3408;;0,638731136;;;-2,127130858;1,782215968;0,13912639;-1,739606011;-1,987540613;-2,690011007;-0,577005351;;;;;;;;;-0,400466152;;;;;-1,000148554;1,41808582;;-1,217285876;-1,96350355;;1,603501804;;-0,628394126;;0,649877665;-0,518840507;0,130852508;-0,501915997;-0,719045178;;0,060207186;-0,274496285;0,389486944;1,414647153
1975-Q2;;;;-1,00896632;0,252750122;231062,8801;;-1,154452753;;;-1,071446707;1,347474683;-1,030183642;-0,051609537;-1,492100144;-2,268514261;-0,501954515;;;;;;;;;1,723782844;;;;;-1,004706808;1,391313202;;0,714536216;1,370993416;;-0,710065894;;1,299640149;;1,045183624;0,534121169;2,220142359;-0,083067768;0,092145804;;-1,648500549;-0,105422218;3,15076402;4,708017469
1975-Q3;;;;-1,815668393;0,38735228;231957,9075;;0,911620997;;;-1,136946925;0,612944177;0,960338551;1,421426377;0,104980707;-0,960290519;1,087808729;;;;;;;;;0,800665346;;;;;0,507866459;1,242050696;;1,711651967;0,569855485;;-0,915384175;;1,877954578;;1,42976477;1,097340343;1,138138264;0,436846242;0,907691254;;-0,350264333;0,426649868;-1,09180734;2,857939982
1975-Q4;;;;4,826948536;1,350335463;235090,1174;;1,276689307;;;-0,713896316;-0,051897778;2,376262245;1,120331647;2,344304561;0,572463046;1,965054968;;;;;;;;;0,824466409;;;;;2,127560608;1,081194488;;1,346524152;3,81341154;;-0,970032912;;1,166484824;;1,799407238;1,371549142;1,051509853;0,702836933;1,707836474;;1,145875318;1,094263387;-1,50224469;3,085712348
